description,effective_domain_size,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",7340,8,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",REAC:R-DRE-8849471,1.0,['REAC:R-DRE-8848021'],0.0019985011241568824,query_1,4003,0.5714285714285714,False,REAC,14
Phospholipase C-mediated cascade: FGFR1,7340,8,Phospholipase C-mediated cascade: FGFR1,REAC:R-DRE-5654219,1.0,['REAC:R-DRE-5654687'],0.0019985011241568824,query_1,4003,0.47058823529411764,False,REAC,17
Phospholipase C-mediated cascade; FGFR3,7340,6,Phospholipase C-mediated cascade; FGFR3,REAC:R-DRE-5654227,1.0,['REAC:R-DRE-5654708'],0.0014988758431176618,query_1,4003,0.5,False,REAC,12
Platelet homeostasis,7340,32,Platelet homeostasis,REAC:R-DRE-418346,1.0,['REAC:R-DRE-109582'],0.00799400449662753,query_1,4003,0.43243243243243246,False,REAC,74
Platelet degranulation ,7340,71,Platelet degranulation ,REAC:R-DRE-114608,1.0,['REAC:R-DRE-76005'],0.01773669747689233,query_1,4003,0.5590551181102362,False,REAC,127
Platelet calcium homeostasis,7340,8,Platelet calcium homeostasis,REAC:R-DRE-418360,1.0,['REAC:R-DRE-418346'],0.0019985011241568824,query_1,4003,0.36363636363636365,False,REAC,22
"Platelet activation, signaling and aggregation",7340,132,"Platelet activation, signaling and aggregation",REAC:R-DRE-76002,1.0,['REAC:R-DRE-109582'],0.03297526854858856,query_1,4003,0.5523012552301255,False,REAC,239
Rhesus glycoproteins mediate ammonium transport.,7340,3,Rhesus glycoproteins mediate ammonium transport.,REAC:R-DRE-444411,1.0,['REAC:R-DRE-425366'],0.0007494379215588309,query_1,4003,1.0,False,REAC,3
Platelet Adhesion to exposed collagen,7340,3,Platelet Adhesion to exposed collagen,REAC:R-DRE-75892,1.0,['REAC:R-DRE-109582'],0.0007494379215588309,query_1,4003,0.5,False,REAC,6
Plasma lipoprotein remodeling,7340,13,Plasma lipoprotein remodeling,REAC:R-DRE-8963899,1.0,['REAC:R-DRE-174824'],0.003247564326754934,query_1,4003,0.8125,False,REAC,16
Plasma lipoprotein clearance,7340,15,Plasma lipoprotein clearance,REAC:R-DRE-8964043,1.0,['REAC:R-DRE-174824'],0.0037471896077941546,query_1,4003,0.625,False,REAC,24
"Plasma lipoprotein assembly, remodeling, and clearance",7340,37,"Plasma lipoprotein assembly, remodeling, and clearance",REAC:R-DRE-174824,1.0,['REAC:R-DRE-382551'],0.00924306769922558,query_1,4003,0.6271186440677966,False,REAC,59
Plasma lipoprotein assembly,7340,14,Plasma lipoprotein assembly,REAC:R-DRE-8963898,1.0,['REAC:R-DRE-174824'],0.0034973769672745443,query_1,4003,0.56,False,REAC,25
Physiological factors,7340,4,Physiological factors,REAC:R-DRE-5578768,1.0,['REAC:R-DRE-5576891'],0.0009992505620784412,query_1,4003,0.8,False,REAC,5
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,7340,1,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,REAC:R-DRE-69200,1.0,['REAC:R-DRE-69202'],0.0002498126405196103,query_1,4003,0.3333333333333333,False,REAC,3
Phosphorylation of CD3 and TCR zeta chains,7340,5,Phosphorylation of CD3 and TCR zeta chains,REAC:R-DRE-202427,1.0,['REAC:R-DRE-202403'],0.0012490632025980515,query_1,4003,1.0,False,REAC,5
Phospholipid metabolism,7340,101,Phospholipid metabolism,REAC:R-DRE-1483257,1.0,['REAC:R-DRE-556833'],0.02523107669248064,query_1,4003,0.6392405063291139,False,REAC,158
Phospholipase C-mediated cascade; FGFR4,7340,6,Phospholipase C-mediated cascade; FGFR4,REAC:R-DRE-5654228,1.0,['REAC:R-DRE-5654716'],0.0014988758431176618,query_1,4003,0.5,False,REAC,12
Phospholipase C-mediated cascade; FGFR2,7340,7,Phospholipase C-mediated cascade; FGFR2,REAC:R-DRE-5654221,1.0,['REAC:R-DRE-5654696'],0.0017486884836372721,query_1,4003,0.3684210526315789,False,REAC,19
PTK6 Regulates Proteins Involved in RNA Processing,7340,4,PTK6 Regulates Proteins Involved in RNA Processing,REAC:R-DRE-8849468,1.0,['REAC:R-DRE-8848021'],0.0009992505620784412,query_1,4003,0.8,False,REAC,5
PTK6 Regulates Cell Cycle,7340,3,PTK6 Regulates Cell Cycle,REAC:R-DRE-8849470,1.0,['REAC:R-DRE-8848021'],0.0007494379215588309,query_1,4003,0.6,False,REAC,5
PTK6 Activates STAT3,7340,4,PTK6 Activates STAT3,REAC:R-DRE-8849474,1.0,['REAC:R-DRE-8848021'],0.0009992505620784412,query_1,4003,1.0,False,REAC,4
Ovarian tumor domain proteases,7340,11,Ovarian tumor domain proteases,REAC:R-DRE-5689896,1.0,['REAC:R-DRE-5688426'],0.0027479390457157134,query_1,4003,0.4583333333333333,False,REAC,24
Other semaphorin interactions,7340,11,Other semaphorin interactions,REAC:R-DRE-416700,1.0,['REAC:R-DRE-373755'],0.0027479390457157134,query_1,4003,0.39285714285714285,False,REAC,28
Other interleukin signaling,7340,11,Other interleukin signaling,REAC:R-DRE-449836,1.0,['REAC:R-DRE-449147'],0.0027479390457157134,query_1,4003,0.6875,False,REAC,16
Organic cation/anion/zwitterion transport,7340,6,Organic cation/anion/zwitterion transport,REAC:R-DRE-549132,1.0,['REAC:R-DRE-425366'],0.0014988758431176618,query_1,4003,0.6666666666666666,False,REAC,9
Organic cation transport,7340,4,Organic cation transport,REAC:R-DRE-549127,1.0,['REAC:R-DRE-549132'],0.0009992505620784412,query_1,4003,0.5714285714285714,False,REAC,7
Organic anion transporters,7340,4,Organic anion transporters,REAC:R-DRE-428643,1.0,['REAC:R-DRE-425393'],0.0009992505620784412,query_1,4003,0.4444444444444444,False,REAC,9
Organic anion transport,7340,2,Organic anion transport,REAC:R-DRE-561048,1.0,['REAC:R-DRE-549132'],0.0004996252810392206,query_1,4003,1.0,False,REAC,2
Organelle biogenesis and maintenance,7340,104,Organelle biogenesis and maintenance,REAC:R-DRE-1852241,1.0,['REAC:0000000'],0.025980514614039472,query_1,4003,0.5333333333333333,False,REAC,195
Orexin and neuropeptides FF and QRFP bind to their respective receptors,7340,2,Orexin and neuropeptides FF and QRFP bind to their respective receptors,REAC:R-DRE-389397,1.0,['REAC:R-DRE-375276'],0.0004996252810392206,query_1,4003,0.3333333333333333,False,REAC,6
Opsins,7340,1,Opsins,REAC:R-DRE-419771,1.0,['REAC:R-DRE-373076'],0.0002498126405196103,query_1,4003,0.125,False,REAC,8
Opioid Signalling,7340,43,Opioid Signalling,REAC:R-DRE-111885,1.0,['REAC:R-DRE-418594'],0.010741943542343242,query_1,4003,0.6515151515151515,False,REAC,66
Oncogene Induced Senescence,7340,5,Oncogene Induced Senescence,REAC:R-DRE-2559585,1.0,['REAC:R-DRE-2559583'],0.0012490632025980515,query_1,4003,0.4166666666666667,False,REAC,12
Olfactory Signaling Pathway,7340,6,Olfactory Signaling Pathway,REAC:R-DRE-381753,1.0,['REAC:R-DRE-9709957'],0.0014988758431176618,query_1,4003,0.5,False,REAC,12
O2/CO2 exchange in erythrocytes,7340,6,O2/CO2 exchange in erythrocytes,REAC:R-DRE-1480926,1.0,['REAC:R-DRE-382551'],0.0014988758431176618,query_1,4003,1.0,False,REAC,6
O-linked glycosylation of mucins,7340,28,O-linked glycosylation of mucins,REAC:R-DRE-913709,1.0,['REAC:R-DRE-5173105'],0.0069947539345490885,query_1,4003,0.6829268292682927,False,REAC,41
Oxidative Stress Induced Senescence,7340,29,Oxidative Stress Induced Senescence,REAC:R-DRE-2559580,1.0,['REAC:R-DRE-2559583'],0.007244566575068698,query_1,4003,0.453125,False,REAC,64
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,7340,40,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,REAC:R-DRE-1234176,1.0,['REAC:R-DRE-1234174'],0.009992505620784412,query_1,4003,0.6060606060606061,False,REAC,66
P2Y receptors,7340,7,P2Y receptors,REAC:R-DRE-417957,1.0,['REAC:R-DRE-418038'],0.0017486884836372721,query_1,4003,0.6363636363636364,False,REAC,11
PAOs oxidise polyamines to amines,7340,1,PAOs oxidise polyamines to amines,REAC:R-DRE-141334,1.0,['REAC:R-DRE-140179'],0.0002498126405196103,query_1,4003,1.0,False,REAC,1
PTEN Regulation,7340,54,PTEN Regulation,REAC:R-DRE-6807070,1.0,['REAC:R-DRE-1257604'],0.013489882588058956,query_1,4003,0.5046728971962616,False,REAC,107
PRC2 methylates histones and DNA,7340,14,PRC2 methylates histones and DNA,REAC:R-DRE-212300,1.0,['REAC:R-DRE-212165'],0.0034973769672745443,query_1,4003,0.4666666666666667,False,REAC,30
POLB-Dependent Long Patch Base Excision Repair,7340,1,POLB-Dependent Long Patch Base Excision Repair,REAC:R-DRE-110362,1.0,['REAC:R-DRE-110373'],0.0002498126405196103,query_1,4003,0.14285714285714285,False,REAC,7
PKMTs methylate histone lysines,7340,1,PKMTs methylate histone lysines,REAC:R-DRE-3214841,1.0,['REAC:R-DRE-3247509'],0.0002498126405196103,query_1,4003,0.3333333333333333,False,REAC,3
PKA activation in glucagon signalling,7340,6,PKA activation in glucagon signalling,REAC:R-DRE-164378,1.0,['REAC:R-DRE-163359'],0.0014988758431176618,query_1,4003,1.0,False,REAC,6
PIP3 activates AKT signaling,7340,115,PIP3 activates AKT signaling,REAC:R-DRE-1257604,1.0,['REAC:R-DRE-9006925'],0.028728453659755182,query_1,4003,0.5476190476190477,False,REAC,210
PINK1-PRKN Mediated Mitophagy,7340,15,PINK1-PRKN Mediated Mitophagy,REAC:R-DRE-5205685,1.0,['REAC:R-DRE-5205647'],0.0037471896077941546,query_1,4003,0.6,False,REAC,25
O-glycosylation of TSR domain-containing proteins,7340,20,O-glycosylation of TSR domain-containing proteins,REAC:R-DRE-5173214,1.0,['REAC:R-DRE-5173105'],0.004996252810392206,query_1,4003,0.6451612903225806,False,REAC,31
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",7340,47,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",REAC:R-DRE-6811558,1.0,['REAC:R-DRE-199418'],0.011741194104421683,query_1,4003,0.5340909090909091,False,REAC,88
PI3K/AKT activation,7340,8,PI3K/AKT activation,REAC:R-DRE-198203,1.0,['REAC:R-DRE-187037'],0.0019985011241568824,query_1,4003,0.8888888888888888,False,REAC,9
PI3K events in ERBB4 signaling,7340,7,PI3K events in ERBB4 signaling,REAC:R-DRE-1250342,1.0,['REAC:R-DRE-1236394'],0.0017486884836372721,query_1,4003,0.7777777777777778,False,REAC,9
PI3K events in ERBB2 signaling,7340,10,PI3K events in ERBB2 signaling,REAC:R-DRE-1963642,1.0,['REAC:R-DRE-1227986'],0.002498126405196103,query_1,4003,0.625,False,REAC,16
PI3K Cascade,7340,24,PI3K Cascade,REAC:R-DRE-109704,1.0,['REAC:R-DRE-112399'],0.005995503372470647,query_1,4003,0.6153846153846154,False,REAC,39
PI-3K cascade:FGFR1,7340,12,PI-3K cascade:FGFR1,REAC:R-DRE-5654689,1.0,['REAC:R-DRE-5654687'],0.0029977516862353237,query_1,4003,0.5454545454545454,False,REAC,22
PI Metabolism,7340,37,PI Metabolism,REAC:R-DRE-1483255,1.0,['REAC:R-DRE-1483257'],0.00924306769922558,query_1,4003,0.5967741935483871,False,REAC,62
PCP/CE pathway,7340,47,PCP/CE pathway,REAC:R-DRE-4086400,1.0,['REAC:R-DRE-3858494'],0.011741194104421683,query_1,4003,0.5108695652173914,False,REAC,92
PI5P Regulates TP53 Acetylation,7340,2,PI5P Regulates TP53 Acetylation,REAC:R-DRE-6811555,1.0,['REAC:R-DRE-6804758'],0.0004996252810392206,query_1,4003,0.3333333333333333,False,REAC,6
Ribosomal scanning and start codon recognition,7340,33,Ribosomal scanning and start codon recognition,REAC:R-DRE-72702,1.0,['REAC:R-DRE-72737'],0.00824381713714714,query_1,4003,0.5409836065573771,False,REAC,61
SCF(Skp2)-mediated degradation of p27/p21,7340,31,SCF(Skp2)-mediated degradation of p27/p21,REAC:R-DRE-187577,1.0,"['REAC:R-DRE-69202', 'REAC:R-DRE-69656']",0.007744191856107919,query_1,4003,0.484375,False,REAC,64
Role of phospholipids in phagocytosis,7340,27,Role of phospholipids in phagocytosis,REAC:R-DRE-2029485,1.0,['REAC:R-DRE-2029480'],0.006744941294029478,query_1,4003,0.29347826086956524,False,REAC,92
Toll Like Receptor 5 (TLR5) Cascade,7340,39,Toll Like Receptor 5 (TLR5) Cascade,REAC:R-DRE-168176,1.0,['REAC:R-DRE-168898'],0.0097426929802648,query_1,4003,0.4875,False,REAC,80
Toll Like Receptor 4 (TLR4) Cascade,7340,45,Toll Like Receptor 4 (TLR4) Cascade,REAC:R-DRE-166016,1.0,['REAC:R-DRE-168898'],0.011241568823382463,query_1,4003,0.4787234042553192,False,REAC,94
Toll Like Receptor 3 (TLR3) Cascade,7340,41,Toll Like Receptor 3 (TLR3) Cascade,REAC:R-DRE-168164,1.0,['REAC:R-DRE-168898'],0.010242318261304022,query_1,4003,0.5394736842105263,False,REAC,76
Toll Like Receptor 2 (TLR2) Cascade,7340,39,Toll Like Receptor 2 (TLR2) Cascade,REAC:R-DRE-181438,1.0,['REAC:R-DRE-168898'],0.0097426929802648,query_1,4003,0.48148148148148145,False,REAC,81
Toll Like Receptor 10 (TLR10) Cascade,7340,39,Toll Like Receptor 10 (TLR10) Cascade,REAC:R-DRE-168142,1.0,['REAC:R-DRE-168898'],0.0097426929802648,query_1,4003,0.48148148148148145,False,REAC,81
Tight junction interactions,7340,3,Tight junction interactions,REAC:R-DRE-420029,1.0,['REAC:R-DRE-421270'],0.0007494379215588309,query_1,4003,0.5,False,REAC,6
Tie2 Signaling,7340,11,Tie2 Signaling,REAC:R-DRE-210993,1.0,['REAC:R-DRE-202733'],0.0027479390457157134,query_1,4003,0.8461538461538461,False,REAC,13
Thyroxine biosynthesis,7340,4,Thyroxine biosynthesis,REAC:R-DRE-209968,1.0,['REAC:R-DRE-209776'],0.0009992505620784412,query_1,4003,0.5714285714285714,False,REAC,7
Thromboxane signalling through TP receptor,7340,11,Thromboxane signalling through TP receptor,REAC:R-DRE-428930,1.0,['REAC:R-DRE-392518'],0.0027479390457157134,query_1,4003,0.4230769230769231,False,REAC,26
Thrombin signalling through proteinase activated receptors (PARs),7340,17,Thrombin signalling through proteinase activated receptors (PARs),REAC:R-DRE-456926,1.0,['REAC:R-DRE-76002'],0.004246814888833375,query_1,4003,0.4722222222222222,False,REAC,36
Threonine catabolism,7340,3,Threonine catabolism,REAC:R-DRE-8849175,1.0,['REAC:R-DRE-71291'],0.0007494379215588309,query_1,4003,0.6,False,REAC,5
The role of GTSE1 in G2/M progression after G2 checkpoint,7340,28,The role of GTSE1 in G2/M progression after G2 checkpoint,REAC:R-DRE-8852276,1.0,['REAC:R-DRE-69275'],0.0069947539345490885,query_1,4003,0.5185185185185185,False,REAC,54
The retinoid cycle in cones (daylight vision),7340,2,The retinoid cycle in cones (daylight vision),REAC:R-DRE-2187335,1.0,['REAC:R-DRE-2187338'],0.0004996252810392206,query_1,4003,0.2857142857142857,False,REAC,7
The proton buffering model,7340,1,The proton buffering model,REAC:R-DRE-167827,1.0,['REAC:R-DRE-166187'],0.0002498126405196103,query_1,4003,0.5,False,REAC,2
The phototransduction cascade,7340,15,The phototransduction cascade,REAC:R-DRE-2514856,1.0,['REAC:R-DRE-2187338'],0.0037471896077941546,query_1,4003,0.46875,False,REAC,32
Toll Like Receptor 7/8 (TLR7/8) Cascade,7340,43,Toll Like Receptor 7/8 (TLR7/8) Cascade,REAC:R-DRE-168181,1.0,['REAC:R-DRE-168898'],0.010741943542343242,query_1,4003,0.5058823529411764,False,REAC,85
Toll Like Receptor 9 (TLR9) Cascade,7340,46,Toll Like Receptor 9 (TLR9) Cascade,REAC:R-DRE-168138,1.0,['REAC:R-DRE-168898'],0.011491381463902073,query_1,4003,0.5227272727272727,False,REAC,88
Toll Like Receptor TLR1:TLR2 Cascade,7340,39,Toll Like Receptor TLR1:TLR2 Cascade,REAC:R-DRE-168179,1.0,['REAC:R-DRE-181438'],0.0097426929802648,query_1,4003,0.48148148148148145,False,REAC,81
Toll Like Receptor TLR6:TLR2 Cascade,7340,39,Toll Like Receptor TLR6:TLR2 Cascade,REAC:R-DRE-168188,1.0,['REAC:R-DRE-181438'],0.0097426929802648,query_1,4003,0.48148148148148145,False,REAC,81
Translation,7340,128,Translation,REAC:R-DRE-72766,1.0,['REAC:R-DRE-392499'],0.03197601798651012,query_1,4003,0.5565217391304348,False,REAC,230
Transferrin endocytosis and recycling,7340,24,Transferrin endocytosis and recycling,REAC:R-DRE-917977,1.0,['REAC:R-DRE-917937'],0.005995503372470647,query_1,4003,0.5454545454545454,False,REAC,44
Transcriptional regulation of granulopoiesis,7340,4,Transcriptional regulation of granulopoiesis,REAC:R-DRE-9616222,1.0,['REAC:R-DRE-1266738'],0.0009992505620784412,query_1,4003,0.8,False,REAC,5
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,7340,10,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,REAC:R-DRE-8864260,1.0,['REAC:R-DRE-212436'],0.002498126405196103,query_1,4003,0.6666666666666666,False,REAC,15
Transcriptional regulation by RUNX3,7340,41,Transcriptional regulation by RUNX3,REAC:R-DRE-8878159,1.0,['REAC:R-DRE-212436'],0.010242318261304022,query_1,4003,0.5394736842105263,False,REAC,76
Transcriptional regulation by RUNX2,7340,33,Transcriptional regulation by RUNX2,REAC:R-DRE-8878166,1.0,['REAC:R-DRE-212436'],0.00824381713714714,query_1,4003,0.4520547945205479,False,REAC,73
Transcriptional regulation by RUNX1,7340,93,Transcriptional regulation by RUNX1,REAC:R-DRE-8878171,1.0,['REAC:R-DRE-212436'],0.023232575568323758,query_1,4003,0.5636363636363636,False,REAC,165
The fatty acid cycling model,7340,1,The fatty acid cycling model,REAC:R-DRE-167826,1.0,['REAC:R-DRE-166187'],0.0002498126405196103,query_1,4003,0.5,False,REAC,2
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,7340,24,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,REAC:R-DRE-2173793,1.0,"['REAC:R-DRE-170834', 'REAC:R-DRE-212436']",0.005995503372470647,query_1,4003,0.75,False,REAC,32
Transcriptional Regulation by TP53,7340,145,Transcriptional Regulation by TP53,REAC:R-DRE-3700989,1.0,['REAC:R-DRE-212436'],0.036222832875343496,query_1,4003,0.5576923076923077,False,REAC,260
Transcriptional Regulation by MECP2,7340,4,Transcriptional Regulation by MECP2,REAC:R-DRE-8986944,1.0,['REAC:R-DRE-212436'],0.0009992505620784412,query_1,4003,0.8,False,REAC,5
Transcription-Coupled Nucleotide Excision Repair (TC-NER),7340,36,Transcription-Coupled Nucleotide Excision Repair (TC-NER),REAC:R-DRE-6781827,1.0,['REAC:R-DRE-5696398'],0.008993255058705971,query_1,4003,0.4864864864864865,False,REAC,74
Transcription from mitochondrial promoters,7340,4,Transcription from mitochondrial promoters,REAC:R-DRE-75944,1.0,['REAC:R-DRE-74160'],0.0009992505620784412,query_1,4003,1.0,False,REAC,4
Trafficking of myristoylated proteins to the cilium,7340,3,Trafficking of myristoylated proteins to the cilium,REAC:R-DRE-5624138,1.0,['REAC:R-DRE-5620920'],0.0007494379215588309,query_1,4003,0.6,False,REAC,5
Trafficking and processing of endosomal TLR,7340,9,Trafficking and processing of endosomal TLR,REAC:R-DRE-1679131,1.0,['REAC:R-DRE-168898'],0.0022483137646764927,query_1,4003,0.45,False,REAC,20
Toll-like Receptor Cascades,7340,60,Toll-like Receptor Cascades,REAC:R-DRE-168898,1.0,['REAC:R-DRE-168249'],0.014988758431176618,query_1,4003,0.4838709677419355,False,REAC,124
Transcriptional activation of mitochondrial biogenesis,7340,5,Transcriptional activation of mitochondrial biogenesis,REAC:R-DRE-2151201,1.0,['REAC:R-DRE-1592230'],0.0012490632025980515,query_1,4003,0.7142857142857143,False,REAC,7
Translesion Synthesis by POLH,7340,8,Translesion Synthesis by POLH,REAC:R-DRE-110320,1.0,['REAC:R-DRE-110313'],0.0019985011241568824,query_1,4003,0.34782608695652173,False,REAC,23
The canonical retinoid cycle in rods (twilight vision),7340,7,The canonical retinoid cycle in rods (twilight vision),REAC:R-DRE-2453902,1.0,['REAC:R-DRE-2187338'],0.0017486884836372721,query_1,4003,0.28,False,REAC,25
The NLRP1 inflammasome,7340,2,The NLRP1 inflammasome,REAC:R-DRE-844455,1.0,['REAC:R-DRE-622312'],0.0004996252810392206,query_1,4003,0.6666666666666666,False,REAC,3
TP53 Regulates Transcription of Cell Cycle Genes,7340,19,TP53 Regulates Transcription of Cell Cycle Genes,REAC:R-DRE-6791312,1.0,['REAC:R-DRE-3700989'],0.004746440169872595,query_1,4003,0.48717948717948717,False,REAC,39
TP53 Regulates Metabolic Genes,7340,28,TP53 Regulates Metabolic Genes,REAC:R-DRE-5628897,1.0,['REAC:R-DRE-3700989'],0.0069947539345490885,query_1,4003,0.5833333333333334,False,REAC,48
TNFs bind their physiological receptors,7340,7,TNFs bind their physiological receptors,REAC:R-DRE-5669034,1.0,['REAC:R-DRE-5668541'],0.0017486884836372721,query_1,4003,0.3684210526315789,False,REAC,19
TNFR2 non-canonical NF-kB pathway,7340,41,TNFR2 non-canonical NF-kB pathway,REAC:R-DRE-5668541,1.0,['REAC:R-DRE-1280215'],0.010242318261304022,query_1,4003,0.47126436781609193,False,REAC,87
TNFR1-mediated ceramide production,7340,6,TNFR1-mediated ceramide production,REAC:R-DRE-5626978,1.0,['REAC:R-DRE-75893'],0.0014988758431176618,query_1,4003,1.0,False,REAC,6
TNFR1-induced NF-kappa-B signaling pathway,7340,16,TNFR1-induced NF-kappa-B signaling pathway,REAC:R-DRE-5357956,1.0,['REAC:R-DRE-75893'],0.003997002248313765,query_1,4003,0.5925925925925926,False,REAC,27
TNF signaling,7340,25,TNF signaling,REAC:R-DRE-75893,1.0,['REAC:R-DRE-73887'],0.006245316012990257,query_1,4003,0.625,False,REAC,40
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,7340,6,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,REAC:R-DRE-5676594,1.0,['REAC:R-DRE-5668541'],0.0014988758431176618,query_1,4003,0.42857142857142855,False,REAC,14
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),7340,8,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),REAC:R-DRE-2173791,1.0,['REAC:R-DRE-170834'],0.0019985011241568824,query_1,4003,0.6153846153846154,False,REAC,13
TGF-beta receptor signaling activates SMADs,7340,14,TGF-beta receptor signaling activates SMADs,REAC:R-DRE-2173789,1.0,['REAC:R-DRE-170834'],0.0034973769672745443,query_1,4003,0.7,False,REAC,20
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,7340,1,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,REAC:R-DRE-8866910,1.0,['REAC:R-DRE-8864260'],0.0002498126405196103,query_1,4003,0.5,False,REAC,2
TFAP2 (AP-2) family regulates transcription of cell cycle factors,7340,2,TFAP2 (AP-2) family regulates transcription of cell cycle factors,REAC:R-DRE-8866911,1.0,['REAC:R-DRE-8864260'],0.0004996252810392206,query_1,4003,1.0,False,REAC,2
"TET1,2,3 and TDG demethylate DNA",7340,1,"TET1,2,3 and TDG demethylate DNA",REAC:R-DRE-5221030,1.0,['REAC:R-DRE-212165'],0.0002498126405196103,query_1,4003,1.0,False,REAC,1
TCR signaling,7340,52,TCR signaling,REAC:R-DRE-202403,1.0,['REAC:R-DRE-1280218'],0.012990257307019736,query_1,4003,0.5842696629213483,False,REAC,89
TCF dependent signaling in response to WNT,7340,83,TCF dependent signaling in response to WNT,REAC:R-DRE-201681,1.0,['REAC:R-DRE-195721'],0.020734449163127656,query_1,4003,0.5570469798657718,False,REAC,149
TP53 Regulates Transcription of Cell Death Genes,7340,12,TP53 Regulates Transcription of Cell Death Genes,REAC:R-DRE-5633008,1.0,['REAC:R-DRE-3700989'],0.0029977516862353237,query_1,4003,0.8571428571428571,False,REAC,14
TP53 Regulates Transcription of DNA Repair Genes,7340,28,TP53 Regulates Transcription of DNA Repair Genes,REAC:R-DRE-6796648,1.0,['REAC:R-DRE-3700989'],0.0069947539345490885,query_1,4003,0.6829268292682927,False,REAC,41
TP53 Regulates Transcription of Death Receptors and Ligands,7340,2,TP53 Regulates Transcription of Death Receptors and Ligands,REAC:R-DRE-6803211,1.0,['REAC:R-DRE-5633008'],0.0004996252810392206,query_1,4003,1.0,False,REAC,2
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,7340,3,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,REAC:R-DRE-6804116,1.0,['REAC:R-DRE-6791312'],0.0007494379215588309,query_1,4003,0.375,False,REAC,8
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",7340,3,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",REAC:R-DRE-1474151,1.0,['REAC:R-DRE-8978934'],0.0007494379215588309,query_1,4003,0.75,False,REAC,4
Termination of translesion DNA synthesis,7340,13,Termination of translesion DNA synthesis,REAC:R-DRE-5656169,1.0,['REAC:R-DRE-110313'],0.003247564326754934,query_1,4003,0.3939393939393939,False,REAC,33
Termination of O-glycan biosynthesis,7340,6,Termination of O-glycan biosynthesis,REAC:R-DRE-977068,1.0,['REAC:R-DRE-913709'],0.0014988758431176618,query_1,4003,0.6,False,REAC,10
Tandem pore domain potassium channels,7340,7,Tandem pore domain potassium channels,REAC:R-DRE-1296346,1.0,['REAC:R-DRE-1296071'],0.0017486884836372721,query_1,4003,0.6363636363636364,False,REAC,11
Tandem pore domain halothane-inhibited K+ channel (THIK),7340,1,Tandem pore domain halothane-inhibited K+ channel (THIK),REAC:R-DRE-1299287,1.0,['REAC:R-DRE-1296346'],0.0002498126405196103,query_1,4003,1.0,False,REAC,1
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),7340,3,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),REAC:R-DRE-1299308,1.0,['REAC:R-DRE-1296346'],0.0007494379215588309,query_1,4003,0.75,False,REAC,4
Tachykinin receptors bind tachykinins,7340,2,Tachykinin receptors bind tachykinins,REAC:R-DRE-380095,1.0,['REAC:R-DRE-375276'],0.0004996252810392206,query_1,4003,0.2222222222222222,False,REAC,9
The NLRP3 inflammasome,7340,3,The NLRP3 inflammasome,REAC:R-DRE-844456,1.0,['REAC:R-DRE-622312'],0.0007494379215588309,query_1,4003,0.3333333333333333,False,REAC,9
TYSND1 cleaves peroxisomal proteins,7340,1,TYSND1 cleaves peroxisomal proteins,REAC:R-DRE-9033500,1.0,['REAC:R-DRE-9033241'],0.0002498126405196103,query_1,4003,1.0,False,REAC,1
TRP channels,7340,10,TRP channels,REAC:R-DRE-3295583,1.0,['REAC:R-DRE-2672351'],0.002498126405196103,query_1,4003,0.5263157894736842,False,REAC,19
TRIF(TICAM1)-mediated TLR4 signaling ,7340,44,TRIF(TICAM1)-mediated TLR4 signaling ,REAC:R-DRE-937061,1.0,['REAC:R-DRE-166166'],0.010991756182862853,query_1,4003,0.5176470588235295,False,REAC,85
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,7340,42,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,REAC:R-DRE-975138,1.0,['REAC:R-DRE-975155'],0.010492130901823632,query_1,4003,0.5,False,REAC,84
